"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001499999","2013-01-01","59.791925","5.34085","48.76","SORSTOKKEN, NO","  36.2"," 6","  34.7"," 6","9999.9"," 0","999.9"," 0","  7.0"," 6","  6.0"," 6","  8.0","999.9","  39.2","*","  33.8","*","99.99"," ","999.9","010000"
"01001499999","2013-01-02","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.2"," 8","  36.0"," 8","9999.9"," 0","999.9"," 0","  7.0"," 8","  2.7"," 8","  6.0","999.9","  39.2","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2013-01-03","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.6"," 7","  41.8"," 7","9999.9"," 0","999.9"," 0","  7.0"," 7"," 17.0"," 7"," 19.0"," 30.9","9999.9"," ","9999.9"," ","99.99"," ","999.9","010000"
"01001499999","2013-01-04","59.791925","5.34085","48.76","SORSTOKKEN, NO","  46.4","10","  46.0","10","9999.9"," 0","999.9"," 0","  4.9","10"," 12.2","10"," 18.1","999.9","9999.9"," ","9999.9"," ","99.99"," ","999.9","110000"
"01001499999","2013-01-06","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.6"," 7","  42.0"," 7","9999.9"," 0","999.9"," 0","  5.3"," 7","  4.8"," 7","  9.9","999.9","  44.6","*","  41.0","*","99.99"," ","999.9","110000"
"01001499999","2013-01-07","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.0","14","  39.5","14","9999.9"," 0","999.9"," 0","  5.9","14"," 11.5","14"," 15.0","999.9","  42.8","*","9999.9"," ","99.99"," ","999.9","010000"
"01001499999","2013-01-08","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.1","14","  39.1","14","9999.9"," 0","999.9"," 0","  6.1","14","  4.8","14","  9.9","999.9","  42.8","*","  37.4","*"," 0.00","I","999.9","100000"
"01001499999","2013-01-09","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.7","14","  39.3","14","9999.9"," 0","999.9"," 0","  6.9","14","  5.8","14","  8.0","999.9","  41.0","*","  39.2","*","99.99"," ","999.9","110000"
"01001499999","2013-01-10","59.791925","5.34085","48.76","SORSTOKKEN, NO","  35.1","14","  30.6","14","9999.9"," 0","999.9"," 0","  6.9","14","  4.4","14","  8.9","999.9","  37.4","*","  32.0","*"," 0.00","I","999.9","000000"
"01001499999","2013-01-11","59.791925","5.34085","48.76","SORSTOKKEN, NO","  32.0"," 8","  21.2"," 8","9999.9"," 0","999.9"," 0","  6.2"," 8","  6.1"," 8","  8.0","999.9","  33.8","*","  30.2","*"," 0.00","I","999.9","000000"
"01001499999","2013-01-13","59.791925","5.34085","48.76","SORSTOKKEN, NO","  28.7"," 6","  16.4"," 6","9999.9"," 0","999.9"," 0","  6.9"," 6","  8.6"," 6","  9.9","999.9","  30.2","*","  28.4","*"," 0.00","I","999.9","000000"
"01001499999","2013-01-14","59.791925","5.34085","48.76","SORSTOKKEN, NO","  29.2","14","  17.7","14","9999.9"," 0","999.9"," 0","  6.8","14","  9.0","14"," 11.1","999.9","  30.2","*","  26.6","*"," 0.00","I","999.9","000000"
"01001499999","2013-01-15","59.791925","5.34085","48.76","SORSTOKKEN, NO","  25.3","14","  15.4","14","9999.9"," 0","999.9"," 0","  6.5","14","  4.0","14","  6.0","999.9","  28.4","*","  23.0","*"," 0.00","I","999.9","000000"
"01001499999","2013-01-16","59.791925","5.34085","48.76","SORSTOKKEN, NO","  26.9","14","  16.7","14","9999.9"," 0","999.9"," 0","  6.9","14","  6.8","14","  8.9","999.9","  28.4","*","  24.8","*","99.99"," ","999.9","001000"
"01001499999","2013-01-17","59.791925","5.34085","48.76","SORSTOKKEN, NO","  27.5","14","  14.8","14","9999.9"," 0","999.9"," 0","  6.2","14","  7.4","14"," 11.1","999.9","  30.2","*","  24.8","*","99.99"," ","999.9","001000"
"01001499999","2013-01-18","59.791925","5.34085","48.76","SORSTOKKEN, NO","  28.2","10","  16.3","10","9999.9"," 0","999.9"," 0","  6.5","10","  7.4","10"," 11.1","999.9","  30.2","*","  24.8","*"," 0.00","I","999.9","000000"
"01001499999","2013-01-20","59.791925","5.34085","48.76","SORSTOKKEN, NO","  32.9"," 6","  23.9"," 6","9999.9"," 0","999.9"," 0","  6.2"," 6","  3.1"," 6","  7.0","999.9","  35.6","*","  30.2","*"," 0.00","I","999.9","000000"
"01001499999","2013-01-21","59.791925","5.34085","48.76","SORSTOKKEN, NO","  27.9","14","   7.1"," 7","9999.9"," 0","999.9"," 0","  6.2","14","  6.9","14"," 14.0"," 25.1","  32.0","*","  24.8","*"," 0.00","I","999.9","000000"
"01001499999","2013-01-22","59.791925","5.34085","48.76","SORSTOKKEN, NO","  25.1","12","  15.0","12","9999.9"," 0","999.9"," 0","  6.2","12","  2.5","12","  6.0","999.9","  30.2","*","  21.2","*"," 0.00","I","999.9","000000"
"01001499999","2013-01-23","59.791925","5.34085","48.76","SORSTOKKEN, NO","  24.9","14","  17.9","14","9999.9"," 0","999.9"," 0","  6.5","14","  3.0","14","  7.0","999.9","  30.2","*","  19.4","*"," 0.00","I","999.9","000000"
