"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01008099999","2018-01-01","78.246111","15.465556","26.82","LONGYEAR, SV","   8.9","24","  -2.1","24","9999.9"," 0","999.9"," 0","  7.8","24"," 12.0","24"," 19.0","999.9","  13.6"," ","   4.5","*"," 0.00","G","999.9","000000"
"01008099999","2018-01-02","78.246111","15.465556","26.82","LONGYEAR, SV","   6.6","24","  -0.8","24","9999.9"," 0","999.9"," 0","  7.8","24","  8.9","24"," 15.5","999.9","  11.7"," ","   1.8"," "," 0.00","G","  3.5","000000"
"01008099999","2018-01-03","78.246111","15.465556","26.82","LONGYEAR, SV","   2.2","24","  -5.3","24","9999.9"," 0","999.9"," 0","  7.7","24"," 11.5","24"," 15.5","999.9","   5.0","*","  -2.2","*"," 0.00","G","  3.5","000000"
"01008099999","2018-01-04","78.246111","15.465556","26.82","LONGYEAR, SV","   8.9","24","  -1.4","24","9999.9"," 0","999.9"," 0","  7.8","24"," 12.6","24"," 17.5","999.9","  12.2","*","   0.7"," "," 0.00","G","  3.5","000000"
"01008099999","2018-01-05","78.246111","15.465556","26.82","LONGYEAR, SV","  13.5","24","   3.8","24","9999.9"," 0","999.9"," 0","  5.9","24"," 14.6","24"," 23.3"," 26.0","  19.4","*","  11.3","*"," 0.00","G","  3.5","001000"
"01008099999","2018-01-06","78.246111","15.465556","26.82","LONGYEAR, SV","  13.9","24","   6.8","24","9999.9"," 0","999.9"," 0","  5.7","24"," 13.1","24"," 21.4"," 25.1","  19.6","*","   8.6","*"," 0.00","H","999.9","001000"
"01008099999","2018-01-07","78.246111","15.465556","26.82","LONGYEAR, SV","  21.8","24","  13.0","24","9999.9"," 0","999.9"," 0","  7.6","24"," 13.6","24"," 22.0","999.9","  26.6","*","   8.8"," "," 0.01","G","  3.9","001000"
"01008099999","2018-01-08","78.246111","15.465556","26.82","LONGYEAR, SV","  24.8","24","  19.6","24","1006.6"," 5","003.0"," 5","  7.5","21","  4.1","24","  9.7","999.9","  28.0"," ","  21.0","*"," 0.00","G","  3.9","000000"
"01008099999","2018-01-09","78.246111","15.465556","26.82","LONGYEAR, SV","  25.6","24","  18.7","24","9999.9"," 0","999.9"," 0","  7.6","24","  7.1","24"," 13.6","999.9","  29.7"," ","  21.2","*"," 0.00","G","  3.9","000000"
"01008099999","2018-01-10","78.246111","15.465556","26.82","LONGYEAR, SV","  29.9","24","  23.4","24","9999.9"," 0","999.9"," 0","  7.6","24","  6.3","24"," 13.0","999.9","  33.8","*","  24.8"," "," 0.00","G","  3.9","000000"
"01008099999","2018-01-11","78.246111","15.465556","26.82","LONGYEAR, SV","  30.6","24","  25.0","24","9999.9"," 0","999.9"," 0","  7.7","24","  8.4","24"," 19.0"," 28.0","  33.3","*","  28.4","*"," 0.01","G","999.9","011000"
"01008099999","2018-01-12","78.246111","15.465556","26.82","LONGYEAR, SV","  32.3","24","  27.0","24","9999.9"," 0","999.9"," 0","  7.2","24","  9.9","24"," 26.0","999.9","  39.2","*","  24.1"," "," 0.00","G","  3.1","011000"
"01008099999","2018-01-13","78.246111","15.465556","26.82","LONGYEAR, SV","  40.4","24","  32.8","24","9999.9"," 0","999.9"," 0","  6.3","24"," 16.1","24"," 27.2"," 39.0","  42.8"," ","  30.7"," "," 0.12","G","  2.4","010000"
"01008099999","2018-01-14","78.246111","15.465556","26.82","LONGYEAR, SV","  30.6","24","  27.4","24","9999.9"," 0","999.9"," 0","  5.4","24"," 12.1","24"," 26.0"," 38.1","  37.0","*","  28.0","*"," 0.73","G","  0.4","011000"
"01008099999","2018-01-15","78.246111","15.465556","26.82","LONGYEAR, SV","  34.9","24","  30.2","24","9999.9"," 0","999.9"," 0","  6.5","24","  5.1","24"," 11.7","999.9","  38.8"," ","  28.9"," "," 0.02","G","  2.0","010000"
"01008099999","2018-01-16","78.246111","15.465556","26.82","LONGYEAR, SV","  33.5","24","  26.6","24","9999.9"," 0","999.9"," 0","  7.8","24"," 11.1","24"," 17.1","999.9","  37.4","*","  31.5","*"," 0.00","G","  2.0","011000"
"01008099999","2018-01-17","78.246111","15.465556","26.82","LONGYEAR, SV","  30.7","24","  22.3","24","9999.9"," 0","999.9"," 0","  7.0","24"," 19.1","24"," 28.0"," 34.0","  32.9","*","  28.4","*"," 0.01","G","  0.8","011000"
"01008099999","2018-01-18","78.246111","15.465556","26.82","LONGYEAR, SV","  31.1","24","  23.1","24","9999.9"," 0","999.9"," 0","  6.7","24"," 15.2","24"," 25.3"," 32.1","  32.0"," ","  28.4","*"," 0.01","G","999.9","011000"
"01008099999","2018-01-19","78.246111","15.465556","26.82","LONGYEAR, SV","  28.1","24","  19.2","24","9999.9"," 0","999.9"," 0","  7.4","24"," 12.9","24"," 23.3"," 32.1","  30.6"," ","  25.3"," "," 0.00","G","999.9","001000"
"01008099999","2018-01-20","78.246111","15.465556","26.82","LONGYEAR, SV","  24.9","24","  18.1","24","9999.9"," 0","999.9"," 0","  7.4","24"," 10.2","24"," 22.0"," 24.1","  26.6"," ","  21.2","*"," 0.00","G","999.9","001000"
"01008099999","2018-01-21","78.246111","15.465556","26.82","LONGYEAR, SV","  24.2","24","  16.8","24","9999.9"," 0","999.9"," 0","  7.4","24","  7.2","24"," 13.6"," 24.1","  28.4","*","  17.6","*"," 0.00","G","  0.4","000000"
"01008099999","2018-01-22","78.246111","15.465556","26.82","LONGYEAR, SV","  27.8","24","  18.8","24","9999.9"," 0","999.9"," 0","  9.2","24"," 10.9","24"," 18.1","999.9","  28.8"," ","  24.8","*"," 0.00","G","  0.4","001000"
"01008099999","2018-01-23","78.246111","15.465556","26.82","LONGYEAR, SV","  28.3","24","  19.5","24","1016.4"," 4","012.8"," 4","  8.6","23"," 12.5","24"," 19.4"," 28.9","  30.2","*","  26.6","*"," 0.00","G","  0.4","001000"
"01008099999","2018-01-24","78.246111","15.465556","26.82","LONGYEAR, SV","  28.2","24","  18.8","24","9999.9"," 0","999.9"," 0","  7.4","24"," 14.9","24"," 21.4","999.9","  30.2","*","  25.9","*"," 0.00","G","  0.4","000000"
"01008099999","2018-01-25","78.246111","15.465556","26.82","LONGYEAR, SV","  22.2","24","  12.7","24","9999.9"," 0","999.9"," 0","  7.8","24"," 11.0","24"," 17.1","999.9","  26.6","*","  15.8","*"," 0.00","G","  0.4","001000"
"01008099999","2018-01-26","78.246111","15.465556","26.82","LONGYEAR, SV","  14.4","24","   6.1","24","9999.9"," 0","999.9"," 0","  7.8","24","  6.2","24","  9.9","999.9","  17.1"," ","  10.4","*"," 0.00","G","  0.4","000010"
"01008099999","2018-01-27","78.246111","15.465556","26.82","LONGYEAR, SV","  15.4","24","   7.7","24","9999.9"," 0","999.9"," 0","  7.6","24","  6.4","23"," 13.0","999.9","  24.8","*","   9.3"," "," 0.00","G","  0.4","001000"
"01008099999","2018-01-28","78.246111","15.465556","26.82","LONGYEAR, SV","  21.9","24","  16.2","24","9999.9"," 0","999.9"," 0","  6.4","24","  4.8","24","  9.9","999.9","  25.0","*","  19.0","*"," 0.06","G","  1.6","001000"
"01008099999","2018-01-29","78.246111","15.465556","26.82","LONGYEAR, SV","  16.7","24","  10.8","24","9999.9"," 0","999.9"," 0","  6.1","24","  9.1","24"," 15.0","999.9","  19.4","*","  12.2","*"," 0.04","G","  2.8","001000"
"01008099999","2018-01-30","78.246111","15.465556","26.82","LONGYEAR, SV","   8.9","24","   2.1","24","9999.9"," 0","999.9"," 0","  6.5","23"," 12.3","21"," 15.0","999.9","  12.4"," ","   3.9","*"," 0.03","G","  3.1","000000"
"01008099999","2018-01-31","78.246111","15.465556","26.82","LONGYEAR, SV","   3.9","24","  -3.6","24","9999.9"," 0","999.9"," 0","  9.3","24"," 11.7","23"," 15.0"," 34.0","   7.7","*","   1.4","*"," 0.00","G","  3.1","000000"
