"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01008099999","2011-01-01","78.246111","15.465556","26.82","LONGYEAR, SV","  -4.0","24"," -18.2","24","9999.9"," 0","999.9"," 0","  7.0","24"," 15.7","24"," 21.4","999.9","  -1.1","*","  -9.4","*"," 0.00","G","  3.5","000000"
"01008099999","2011-01-02","78.246111","15.465556","26.82","LONGYEAR, SV","  -4.2","24"," -13.0","24","9999.9"," 0","999.9"," 0","  8.5","23","  5.3","24","  8.0","999.9","   3.4","*","  -9.6"," "," 0.00","G","  3.1","000000"
"01008099999","2011-01-03","78.246111","15.465556","26.82","LONGYEAR, SV","  10.6","24","   4.3","24","9999.9"," 0","999.9"," 0","  8.7","24","  3.8","24","  8.0","999.9","  21.2","*","  -2.4"," "," 0.00","G","  3.1","001000"
"01008099999","2011-01-04","78.246111","15.465556","26.82","LONGYEAR, SV","   9.5","24","   2.9","24","9999.9"," 0","999.9"," 0","  4.5","24"," 15.3","24"," 22.9","999.9","  28.4"," ","  -4.0","*"," 0.09","G","999.9","001000"
"01008099999","2011-01-05","78.246111","15.465556","26.82","LONGYEAR, SV","  -8.1","24"," -19.6","24","9999.9"," 0","999.9"," 0","  8.7","24"," 10.7","24"," 15.5","999.9","  -3.6","*"," -14.8","*"," 0.01","G","999.9","000000"
"01008099999","2011-01-06","78.246111","15.465556","26.82","LONGYEAR, SV"," -13.0","24"," -20.7","24","1019.2"," 4","015.4"," 4"," 10.4","23","  8.6","24"," 11.7","999.9"," -10.5"," "," -16.6","*"," 0.00","G","999.9","000000"
"01008099999","2011-01-07","78.246111","15.465556","26.82","LONGYEAR, SV","  -3.8","24"," -10.2","24","9999.9"," 0","999.9"," 0","  6.4","24","  4.2","24"," 12.0","999.9","   5.0","*"," -13.9"," "," 0.00","E","999.9","001000"
"01008099999","2011-01-08","78.246111","15.465556","26.82","LONGYEAR, SV","  16.9","24","   9.8","24","9999.9"," 0","999.9"," 0","  7.0","24"," 18.8","24"," 27.2"," 35.0","  37.8"," ","   0.5"," "," 0.06","G","  3.1","001000"
"01008099999","2011-01-09","78.246111","15.465556","26.82","LONGYEAR, SV","  10.3","24","  -0.7","24","9999.9"," 0","999.9"," 0","  8.3","24"," 19.4","24"," 25.3"," 30.9","  16.2","*","   5.0","*"," 0.00","G","  3.1","000000"
"01008099999","2011-01-10","78.246111","15.465556","26.82","LONGYEAR, SV","  11.1","24","  -0.4","24","9999.9"," 0","999.9"," 0","  8.7","24"," 18.3","24"," 23.3","999.9","  27.7"," ","   4.8"," "," 0.00","G","  2.8","000000"
"01008099999","2011-01-11","78.246111","15.465556","26.82","LONGYEAR, SV","   5.2","24","  -4.5","24","9999.9"," 0","999.9"," 0","  8.7","24"," 13.6","24"," 27.0","999.9","   8.8","*","   0.9"," "," 0.00","G","  2.8","001000"
"01008099999","2011-01-12","78.246111","15.465556","26.82","LONGYEAR, SV","  -3.2","24"," -14.2","24","9999.9"," 0","999.9"," 0","  8.7","24"," 17.4","24"," 29.9"," 35.0","   8.6","*"," -13.0","*"," 0.00","G","999.9","000000"
"01008099999","2011-01-13","78.246111","15.465556","26.82","LONGYEAR, SV","  -5.5","24"," -13.3","24","9999.9"," 0","999.9"," 0","  8.7","24","  4.9","24"," 13.0","999.9","   2.7"," "," -13.5"," "," 0.00","G","  2.8","001000"
"01008099999","2011-01-14","78.246111","15.465556","26.82","LONGYEAR, SV","   4.8","24","  -1.5","24","9999.9"," 0","999.9"," 0","  7.7","24","  7.6","24"," 15.9","999.9","  12.2"," ","  -2.2","*"," 0.00","G","999.9","001000"
"01008099999","2011-01-15","78.246111","15.465556","26.82","LONGYEAR, SV","   8.9","24","  -2.7","24","9999.9"," 0","999.9"," 0","  8.7","24","  5.8","24"," 14.0","999.9","  34.2"," ","  -1.7"," "," 0.00","G","999.9","000000"
"01008099999","2011-01-16","78.246111","15.465556","26.82","LONGYEAR, SV","  10.1","24","   5.0","24","9999.9"," 0","999.9"," 0","  8.7","23","  4.6","24","  9.7","999.9","  34.7"," ","  -0.0","*"," 0.00","G","  2.8","001000"
"01008099999","2011-01-17","78.246111","15.465556","26.82","LONGYEAR, SV","  11.9","24","   8.0","24","9999.9"," 0","999.9"," 0","  6.6","24","  2.5","24"," 12.0","999.9","  34.2"," ","  -0.0"," "," 0.00","G","  3.1","001000"
"01008099999","2011-01-18","78.246111","15.465556","26.82","LONGYEAR, SV","  23.8","24","  15.4","24","9999.9"," 0","999.9"," 0","  8.7","24"," 12.3","24"," 21.4","999.9","  27.9"," ","  12.7"," "," 0.00","G","  3.1","001000"
"01008099999","2011-01-19","78.246111","15.465556","26.82","LONGYEAR, SV","  21.6","24","  18.7","24","9999.9"," 0","999.9"," 0","  6.2","23","  2.0","24","  6.0","999.9","  23.7"," ","  19.4","*"," 0.00","G","  3.1","011000"
"01008099999","2011-01-20","78.246111","15.465556","26.82","LONGYEAR, SV","  28.9","24","  22.8","24","9999.9"," 0","999.9"," 0","  6.3","24"," 12.4","24"," 25.3","999.9","  39.2","*","  17.2"," "," 0.01","G","999.9","011000"
"01008099999","2011-01-21","78.246111","15.465556","26.82","LONGYEAR, SV","  28.2","24","  24.0","24","9999.9"," 0","999.9"," 0","  6.8","24","  6.4","24"," 25.1","999.9","  35.6","*","  21.2","*"," 0.00","G","999.9","011000"
"01008099999","2011-01-22","78.246111","15.465556","26.82","LONGYEAR, SV","  13.0","24","   3.9","24","9999.9"," 0","999.9"," 0","  7.5","24"," 16.7","24"," 22.0","999.9","  23.2","*","   2.1","*"," 0.02","G","999.9","001000"
