"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01008099999","2017-01-01","78.246111","15.465556","26.82","LONGYEAR, SV","  14.5","24","   3.5","24","9999.9"," 0","999.9"," 0","  7.7","19"," 10.2","24"," 15.9","999.9","  17.8","*","  10.4","*"," 0.04","G","  7.5","000000"
"01008099999","2017-01-02","78.246111","15.465556","26.82","LONGYEAR, SV","  19.4","24","  11.2","24","9999.9"," 0","999.9"," 0","  8.2","19"," 14.9","24"," 25.1","999.9","  23.5","*","   9.9"," "," 0.00","G","  7.5","000000"
"01008099999","2017-01-03","78.246111","15.465556","26.82","LONGYEAR, SV","  19.9","24","  10.9","24","9999.9"," 0","999.9"," 0","  8.5","16"," 13.8","24"," 24.1","999.9","  24.8","*","  12.2","*"," 0.00","G","  7.1","000000"
"01008099999","2017-01-04","78.246111","15.465556","26.82","LONGYEAR, SV","  21.2","24","  15.2","24","9999.9"," 0","999.9"," 0","  7.0","18"," 10.2","24"," 17.5"," 28.0","  27.5"," ","  10.2"," ","99.99"," ","  7.1","001000"
"01008099999","2017-01-05","78.246111","15.465556","26.82","LONGYEAR, SV","  24.2","24","  19.2","24","9999.9"," 0","999.9"," 0","  4.9","24"," 15.6","24"," 27.2"," 35.9","  31.1"," ","  16.9"," ","99.99"," ","  7.1","001000"
"01008099999","2017-01-06","78.246111","15.465556","26.82","LONGYEAR, SV","  23.0","24","  16.1","24","9999.9"," 0","999.9"," 0","  6.0","22"," 13.8","24"," 25.3"," 35.9","  28.6"," ","  15.8","*"," 0.09","G","  7.9","001000"
"01008099999","2017-01-07","78.246111","15.465556","26.82","LONGYEAR, SV","  19.2","24","   9.9","24","9999.9"," 0","999.9"," 0","  5.9","24"," 10.8","24"," 17.1","999.9","  24.8","*","  12.2","*"," 0.00","G","999.9","001000"
"01008099999","2017-01-08","78.246111","15.465556","26.82","LONGYEAR, SV","  10.2","24","  -0.6","24","9999.9"," 0","999.9"," 0","  7.4","24"," 11.7","24"," 20.0","999.9","  12.6"," ","   7.9"," "," 0.00","I","  5.9","000000"
"01008099999","2017-01-09","78.246111","15.465556","26.82","LONGYEAR, SV","   8.9","24","  -3.2","24","9999.9"," 0","999.9"," 0","  9.3","24"," 12.2","24"," 17.5"," 27.0","  11.5","*","   6.1"," ","99.99"," ","  5.9","001000"
"01008099999","2017-01-10","78.246111","15.465556","26.82","LONGYEAR, SV","   7.8","24","  -3.7","24","9999.9"," 0","999.9"," 0","  7.4","24"," 14.0","24"," 20.0"," 22.9","  10.4"," ","   5.4","*"," 0.00","F","  5.9","000000"
"01008099999","2017-01-11","78.246111","15.465556","26.82","LONGYEAR, SV","  12.1","24","   3.3","24","9999.9"," 0","999.9"," 0","  6.8","24"," 11.5","24"," 21.4","999.9","  14.2"," ","   6.1"," "," 0.00","G","999.9","001000"
"01008099999","2017-01-12","78.246111","15.465556","26.82","LONGYEAR, SV","  10.3","24","   2.4","24","9999.9"," 0","999.9"," 0","  6.6","24","  9.1","24"," 15.5","999.9","  13.5"," ","   7.2","*"," 0.12","G"," 13.0","001000"
"01008099999","2017-01-13","78.246111","15.465556","26.82","LONGYEAR, SV","  11.0","24","   3.5","24","9999.9"," 0","999.9"," 0","  8.0","16"," 10.6","24"," 15.0","999.9","  17.1"," ","   5.9"," "," 0.00","G"," 13.0","001000"
"01008099999","2017-01-14","78.246111","15.465556","26.82","LONGYEAR, SV","  20.1","24","  12.1","24","9999.9"," 0","999.9"," 0","  7.8","23"," 12.8","24"," 15.5","999.9","  24.4"," ","  13.1"," "," 0.00","G"," 13.0","000000"
"01008099999","2017-01-15","78.246111","15.465556","26.82","LONGYEAR, SV","  18.2","24","  13.2","24","9999.9"," 0","999.9"," 0","  9.3","24","  6.4","24"," 11.7","999.9","  23.0","*","  12.9"," "," 0.00","G"," 13.0","001000"
